User,Film,Rating
RottenTomatoes Tomato meter,Solo: A Star Wars Story,3.5
RottenTomatoes Tomato meter,Spider-Man: Into the Spider-Verse,4.85
RottenTomatoes Tomato meter,Star Wars: Episode VIII: The Last Jedi,4.55
RottenTomatoes Tomato meter,Straight Up,4.65
RottenTomatoes Tomato meter,Submission,2.5
RottenTomatoes Tomato meter,Sweet Virginia,3.95
RottenTomatoes Tomato meter,The Angry Birds Movie 2,3.65
RottenTomatoes Tomato meter,The Basement,0.55
RottenTomatoes Tomato meter,The Breadwinner,4.75
RottenTomatoes Tomato meter,The Bye Bye Man,0.9
RottenTomatoes Tomato meter,The Case for Christ,3.05
RottenTomatoes Tomato meter,Tokyo Idols,4.55
RottenTomatoes Tomato meter,The Endless,4.6
RottenTomatoes Tomato meter,Thor: Ragnarok,4.65
RottenTomatoes Tomato meter,The Force,4.35
RottenTomatoes Tomato meter,The Foreigner,3.3
RottenTomatoes Tomato meter,The Good Catholic,2.15
RottenTomatoes Tomato meter,The Hurricane Heist,2.35
RottenTomatoes Tomato meter,The Incredibles 2,4.65
RottenTomatoes Tomato meter,The Keeping Hours,4.0
RottenTomatoes Tomato meter,The Secret Life of Pets 2,3.0
RottenTomatoes Tomato meter,The Nutcracker and the Four Realms,1.6
RottenTomatoes Tomato meter,The Little Mermaid,1.0
RottenTomatoes Tomato meter,Bright,1.35
RottenTomatoes Tomato meter,Death Note,1.85
RottenTomatoes Tomato meter,Okja,4.3
RottenTomatoes Tomato meter,Ant-Man and the Wasp,4.35
RottenTomatoes Tomato meter,Avengers: Infinity War,4.25
RottenTomatoes Tomato meter,Black Panther,4.8
RottenTomatoes Tomato meter,Buffalo Boys,3.95
RottenTomatoes Tomato meter,Burning,4.75
RottenTomatoes Tomato meter,Christopher Robin,3.6
RottenTomatoes Tomato meter,Berlin Syndrome,3.8
RottenTomatoes Tomato meter,Icarus,4.6
RottenTomatoes Tomato meter,To the Bone,3.5
RottenTomatoes Tomato meter,When We First Met,2.15
RottenTomatoes Tomato meter,War Machine,2.4
RottenTomatoes Tomato meter,IBOY,3.45
RottenTomatoes Tomato meter,1BR,4.4
RottenTomatoes Tomato meter,Temple,1.35
RottenTomatoes Tomato meter,A Bad Moms Christmas,1.6
RottenTomatoes Tomato meter,A Wrinkle in Time,2.15
RottenTomatoes Tomato meter,American Assassin,1.7
RottenTomatoes Tomato meter,American Hangman,2.2
RottenTomatoes Tomato meter,Mudbound,4.85
RottenTomatoes Tomato meter,1922,4.55
RottenTomatoes Tomato meter,Bitch,3.35
RottenTomatoes Tomato meter,The Babysitter,3.6
RottenTomatoes Tomato meter,Breath,4.0
RottenTomatoes Tomato meter,Newness,3.55
RottenTomatoes Tomato meter,Chasing the Dragon,2.85
RottenTomatoes Tomato meter,What Happened to Monday,3.05
RottenTomatoes Tomato meter,Domino,1.65
RottenTomatoes Tomato meter,The Cloverfield Paradox,1.05
RottenTomatoes Tomato meter,A Futile and Stupid Gesture,3.35
RottenTomatoes Tomato meter,Judd Apatow: The Return,4.3
RottenTomatoes Tomato meter,Voyeur,3.95
RottenTomatoes Tomato meter,Saving Capitalism,5.0
RottenTomatoes Tomato meter,A Christmas Prince,3.65
RottenTomatoes Tomato meter,Our Souls at Night,4.45
RottenTomatoes Tomato meter,Gaga: Five Foot Two,3.65
RottenTomatoes Tomato meter,Cult of Chucky,3.85
RottenTomatoes Tomato meter,Message from the King,2.25
RottenTomatoes Tomato meter,Chasing Coral,5.0
RottenTomatoes Tomato meter,Take Me,3.5
RottenTomatoes Tomato meter,"Oh, Hello On Broadway",4.4
RottenTomatoes Tomato meter,Joshua: Teenager vs. Superpower,4.65
RottenTomatoes Tomato meter,Get Me Roger Stone,4.4
RottenTomatoes Tomato meter,Small Crimes,2.95
RottenTomatoes Tomato meter,Sand Castle,2.35
RottenTomatoes Tomato meter,Tramps,4.75
RottenTomatoes Tomato meter,Sandy Wexler,1.35
RottenTomatoes Tomato meter,Burning Sands,4.4
RottenTomatoes Tomato meter,14 Cameras,1.1
RottenTomatoes Tomato meter,6 Days,3.15
RottenTomatoes Tomato meter,Almost Love,3.35
RottenTomatoes Tomato meter,Raat Akeli Hai,5.0
RottenTomatoes Tomato meter,The Kissing Booth 2,1.35
RottenTomatoes Tomato meter,Ip Man 4: The Finale,4.25
RottenTomatoes Tomato meter,The Old Guard,4.0
RottenTomatoes Tomato meter,A Whisker Away,4.65
RottenTomatoes Tomato meter,Da 5 Bloods,4.6
RottenTomatoes Tomato meter,The Witch: Part 1 - The Subversion,4.45
RottenTomatoes Tomato meter,Before I Fall,3.2
RottenTomatoes Tomato meter,The Night Clerk,1.8
RottenTomatoes Tomato meter,Lady Bird,4.95
RottenTomatoes Tomato meter,The Disaster Artist,4.55
RottenTomatoes Tomato meter,Ne Zha,4.4
RottenTomatoes Tomato meter,Uncut Gems,4.6
RottenTomatoes Tomato meter,The Half Of It,4.85
RottenTomatoes Tomato meter,Dangerous Lies,1.25
RottenTomatoes Tomato meter,Time to Hunt,3.25
RottenTomatoes Tomato meter,The Willoughbys,4.55
RottenTomatoes Tomato meter,Love Wedding Repeat,1.75
RottenTomatoes Tomato meter,Tigertail,4.05
RottenTomatoes Tomato meter,The Florida Project,4.8
RottenTomatoes Tomato meter,The Killing of a Sacred Deer,4.0
RottenTomatoes Tomato meter,Angel Has Fallen,1.95
RottenTomatoes Tomato meter,The Occupant,3.05
RottenTomatoes Tomato meter,Lost Girls,3.75
RottenTomatoes Tomato meter,Spenser Confidential,1.85
RottenTomatoes Tomato meter,All The Bright Places,3.2
RottenTomatoes Tomato meter,To All the Boys: P.S. I Still Love You,3.8
RottenTomatoes Tomato meter,Horse Girl,3.55
RottenTomatoes Tomato meter,A Ghost Story,4.55
RottenTomatoes Tomato meter,The Two Popes,4.45
RottenTomatoes Tomato meter,Sam Jay: 3 In The Morning,4.15
RottenTomatoes Tomato meter,The Speed Cubers,5.0
RottenTomatoes Tomato meter,Mucho Mucho Amor: The Legend of Walter Mercado,5.0
RottenTomatoes Tomato meter,The Long Dumb Road,3.75
RottenTomatoes Tomato meter,Eurovision Song Contest: The Story of Fire Saga,3.15
RottenTomatoes Tomato meter,Athlete A,5.0
RottenTomatoes Tomato meter,Spelling the Dream,4.6
RottenTomatoes Tomato meter,The Wrong Missy,1.65
RottenTomatoes Tomato meter,Have a Good Trip: Adventures in Psychedelics,2.9
RottenTomatoes Tomato meter,Bennett's War,2.5
RottenTomatoes Tomato meter,All Day and a Night,2.7
RottenTomatoes Tomato meter,6 Underground,1.8
RottenTomatoes Tomato meter,Marriage Story,4.7
RottenTomatoes Tomato meter,The Island,5.0
RottenTomatoes Tomato meter,Master Z: The Ip Man Legacy,4.45
RottenTomatoes Tomato meter,After,0.9
RottenTomatoes Tomato meter,In the Tall Grass,1.8
RottenTomatoes Tomato meter,Under the Eiffel Tower,2.05
RottenTomatoes Tomato meter,Tall Girl,1.9
RottenTomatoes Tomato meter,Evelyn,5.0
RottenTomatoes Tomato meter,Article 15,4.5
RottenTomatoes Tomato meter,PATRICK (2019),4.35
RottenTomatoes Tomato meter,Wine Country,3.3
RottenTomatoes Tomato meter,The Last Summer,1.45
RottenTomatoes Tomato meter,Someone Great,4.15
RottenTomatoes Tomato meter,The Perfect Date,3.35
RottenTomatoes Tomato meter,Mercy Black,2.25
RottenTomatoes Tomato meter,Triple Frontier,3.5
RottenTomatoes Tomato meter,The Dirt,1.8
RottenTomatoes Tomato meter,The Sky Is Pink,3.55
RottenTomatoes Tomato meter,It Comes at Night,4.35
RottenTomatoes Tomato meter,Dead Kids,0.85
RottenTomatoes Tomato meter,Atlantics,4.8
RottenTomatoes Tomato meter,Holiday Rush,2.0
RottenTomatoes Tomato meter,The Irishman,4.75
RottenTomatoes Tomato meter,HOMECOMING: A film by Beyoncé,4.9
RottenTomatoes Tomato meter,Lady J,4.25
RottenTomatoes Tomato meter,Nappily Ever After,3.35
RottenTomatoes Tomato meter,The Highwaymen,2.9
RottenTomatoes Tomato meter,Bayonet,4.0
RottenTomatoes Tomato meter,The Silence,1.45
RottenTomatoes Tomato meter,Rim of the World,1.35
RottenTomatoes Tomato meter,The Perfection,3.55
RottenTomatoes Tomato meter,Sextuplets,1.0
RottenTomatoes Tomato meter,Girls With Balls,2.35
RottenTomatoes Tomato meter,Point Blank,2.0
RottenTomatoes Tomato meter,The Man Who Feels No Pain,4.7
RottenTomatoes Tomato meter,Thriller,2.0
RottenTomatoes Tomato meter,Unicorn Store,3.2
RottenTomatoes Tomato meter,Girl,4.2
RottenTomatoes Tomato meter,The Body Remembers When the World Broke Open,4.85
RottenTomatoes Tomato meter,Shot Caller,3.45
RottenTomatoes Tomato meter,Iron Sky: The Coming Race,1.45
RottenTomatoes Tomato meter,Earthquake Bird,2.45
RottenTomatoes Tomato meter,Burning Cane,4.6
RottenTomatoes Tomato meter,Shadow,4.7
RottenTomatoes Tomato meter,El Camino: A Breaking Bad Movie,4.55
RottenTomatoes Tomato meter,The Last Airbender,0.25
RottenTomatoes Tomato meter,The Runaways,3.45
RottenTomatoes Tomato meter,Hugo,4.65
RottenTomatoes Tomato meter,Ordinary World,2.35
RottenTomatoes Tomato meter,The Bling Ring,3.0
RottenTomatoes Tomato meter,The Danish Girl,3.3
RottenTomatoes Tomato meter,Sinister 2,0.75
RottenTomatoes Tomato meter,Olympus Has Fallen,2.5
RottenTomatoes Tomato meter,Selfless,0.95
RottenTomatoes Tomato meter,Black Sea,4.0
RottenTomatoes Tomato meter,The Theory of Everything,4.0
RottenTomatoes Tomato meter,Kill the Messenger,3.85
RottenTomatoes Tomato meter,Camp X-Ray,3.75
RottenTomatoes Tomato meter,Cats & Dogs: The Revenge of Kitty Galore,0.65
RottenTomatoes Tomato meter,Chernobyl Diaries,0.95
RottenTomatoes Tomato meter,Clash of the Titans,1.35
RottenTomatoes Tomato meter,Cloud Atlas,3.3
RottenTomatoes Tomato meter,Clouds of Sils Maria,4.55
RottenTomatoes Tomato meter,Dallas Buyers Club,4.6
RottenTomatoes Tomato meter,Death at a Funeral,2.15
RottenTomatoes Tomato meter,Dinner for Schmucks,2.1
RottenTomatoes Tomato meter,Dolphin Tale 2,3.3
RottenTomatoes Tomato meter,Don't Be Afraid of the Dark,3.0
RottenTomatoes Tomato meter,Don't Knock Twice,1.15
RottenTomatoes Tomato meter,Earth to Echo,2.5
RottenTomatoes Tomato meter,Silent Hill: Revelation,0.5
RottenTomatoes Tomato meter,Soul Surfer,2.3
RottenTomatoes Tomato meter,Sour Grapes,4.8
RottenTomatoes Tomato meter,Swiss Army Man,3.6
RottenTomatoes Tomato meter,The Adventures of Tintin,3.7
RottenTomatoes Tomato meter,The Age of Shadows,5.0
RottenTomatoes Tomato meter,The Autopsy of Jane Doe,4.3
RottenTomatoes Tomato meter,The Book of Eli,2.35
RottenTomatoes Tomato meter,The Bounty Hunter,0.6
RottenTomatoes Tomato meter,The Captive,1.45
RottenTomatoes Tomato meter,The Company Men,3.35
RottenTomatoes Tomato meter,The Croods,3.6
RottenTomatoes Tomato meter,The Devil Inside,0.25
RottenTomatoes Tomato meter,The Exception,3.7
RottenTomatoes Tomato meter,The Frozen Ground,3.05
RottenTomatoes Tomato meter,The Iron Lady,2.6
RottenTomatoes Tomato meter,Grown Ups,0.55
RottenTomatoes Tomato meter,Chappie,1.6
RottenTomatoes Tomato meter,Extraction,0.3
RottenTomatoes Tomato meter,Green Lantern,1.3
RottenTomatoes Tomato meter,The Interview,2.55
RottenTomatoes Tomato meter,The November Man,1.8
RottenTomatoes Tomato meter,Walk of Shame,0.75
RottenTomatoes Tomato meter,Inception,4.35
RottenTomatoes Tomato meter,Django Unchained,4.3
RottenTomatoes Tomato meter,The Twilight Saga: Breaking Dawn: Part 1,1.25
RottenTomatoes Tomato meter,The Twilight Saga: Breaking Dawn: Part 2,2.45
RottenTomatoes Tomato meter,The Twilight Saga: Eclipse,2.4
RottenTomatoes Tomato meter,Brick Mansions,1.3
RottenTomatoes Tomato meter,Snowpiercer,4.7
RottenTomatoes Tomato meter,Kung Fu Panda 2,4.0
RottenTomatoes Tomato meter,Underworld: Awakening,1.3
RottenTomatoes Tomato meter,A Haunted House 2,0.4
RottenTomatoes Tomato meter,Spy Kids: All the Time in the World,1.15
RottenTomatoes Tomato meter,Sabotage,1.1
RottenTomatoes Tomato meter,Due Date,1.95
RottenTomatoes Tomato meter,Green Zone,2.65
RottenTomatoes Tomato meter,Madagascar 3: Europe's Most Wanted,3.9
RottenTomatoes Tomato meter,The Darkest Hour,0.6
RottenTomatoes Tomato meter,The Whole Truth,1.7
RottenTomatoes Tomato meter,Crimson Peak,3.6
RottenTomatoes Tomato meter,Insidious,3.3
RottenTomatoes Tomato meter,The BFG,3.7
RottenTomatoes Tomato meter,The Conjuring,4.3
RottenTomatoes Tomato meter,The Conjuring 2,4.0
RottenTomatoes Tomato meter,War Dogs,3.05
RottenTomatoes Tomato meter,Shutter Island,3.4
RottenTomatoes Tomato meter,The Next Three Days,2.5
RottenTomatoes Tomato meter,Penguins of Madagascar: The Movie,3.7
RottenTomatoes Tomato meter,Triple 9,2.7
RottenTomatoes Tomato meter,3 Days to Kill,1.4
RottenTomatoes Tomato meter,Cloudy with a Chance of Meatballs 2,3.55
RottenTomatoes Tomato meter,Snowden,3.05
RottenTomatoes Tomato meter,ParaNorman,4.45
RottenTomatoes Tomato meter,Batman: The Killing Joke,1.85
RottenTomatoes Tomato meter,Real Steel,3.0
RottenTomatoes Tomato meter,The Smurfs 2,0.7
RottenTomatoes Tomato meter,How to Train Your Dragon 2,4.55
RottenTomatoes Tomato meter,Puss in Boots,4.3
RottenTomatoes Tomato meter,The Smurfs,1.05
RottenTomatoes Tomato meter,Seventh Son,0.6
RottenTomatoes Tomato meter,Mr. Peabody & Sherman,4.05
RottenTomatoes Tomato meter,Headshot,3.7
RottenTomatoes Tomato meter,Ip Man 3,3.8
RottenTomatoes Tomato meter,Ip Man 2,4.85
RottenTomatoes Tomato meter,The Short Game,4.2
RottenTomatoes Tomato meter,"As Above, So Below",1.3
RottenTomatoes Tomato meter,Before the Flood,3.75
RottenTomatoes Tomato meter,Jupiter Ascending,1.4
RottenTomatoes Tomato meter,The Roommate,0.15
RottenTomatoes Tomato meter,The Social Network,4.8
RottenTomatoes Tomato meter,The Space Between Us,0.8
RottenTomatoes Tomato meter,The Spy Next Door,0.6
RottenTomatoes Tomato meter,Train to Busan,4.7
RottenTomatoes Tomato meter,Transcendence,0.95
RottenTomatoes Tomato meter,Turbo,3.35
RottenTomatoes Tomato meter,Tusk,2.3
RottenTomatoes Tomato meter,Bright Star,4.15
RottenTomatoes Tomato meter,Poseidon,1.65
RottenTomatoes Tomato meter,Welcome Home Roscoe Jenkins,1.15
RottenTomatoes Tomato meter,Beowulf,3.55
RottenTomatoes Tomato meter,Freedomland,1.15
RottenTomatoes Tomato meter,Pineapple Express,3.4
RottenTomatoes Tomato meter,3 Idiots,5.0
RottenTomatoes Tomato meter,Zathura,3.8
RottenTomatoes Tomato meter,Monster House,3.75
RottenTomatoes Tomato meter,Madagascar: Escape 2 Africa,3.2
RottenTomatoes Tomato meter,The Spiderwick Chronicles,4.05
RottenTomatoes Tomato meter,A Single Man,4.3
RottenTomatoes Tomato meter,The Bucket List,2.05
RottenTomatoes Tomato meter,Ip Man,4.3
RottenTomatoes Tomato meter,Final Destination 3,2.2
RottenTomatoes Tomato meter,Ghost Rider,1.3
RottenTomatoes Tomato meter,Planet 51,1.15
RottenTomatoes Tomato meter,The Twilight Saga: New Moon,1.45
RottenTomatoes Tomato meter,Twilight,2.45
RottenTomatoes Tomato meter,Kung Fu Panda,4.35
RottenTomatoes Tomato meter,Memoirs of a Geisha,1.75
RottenTomatoes Tomato meter,Seven Pounds,1.35
RottenTomatoes Tomato meter,Star Trek,4.7
RottenTomatoes Tomato meter,The Strangers,2.4
RottenTomatoes Tomato meter,Felon,3.15
RottenTomatoes Tomato meter,Ninja Assassin,1.3
RottenTomatoes Tomato meter,Hachi: A Dog's Tale,3.2
RottenTomatoes Tomato meter,Never Back Down,1.15
RottenTomatoes Tomato meter,State of Play,4.2
RottenTomatoes Tomato meter,The Lovely Bones,1.6
RottenTomatoes Tomato meter,Wild Child,2.05
RottenTomatoes Tomato meter,The Last Exorcism,3.6
RottenTomatoes Tomato meter,The Rebound,2.05
RottenTomatoes Tomato meter,The Seven Five,4.15
RottenTomatoes Tomato meter,The Signal,3.05
RottenTomatoes Tomato meter,The Tiger Hunter,3.95
RottenTomatoes Tomato meter,The Unknown Known,4.1
RottenTomatoes Tomato meter,Newtown,4.7
RottenTomatoes Tomato meter,Night Moves,4.3
RottenTomatoes Tomato meter,Reincarnated,1.4
RottenTomatoes Tomato meter,The Hollow Point,2.0
RottenTomatoes Tomato meter,Taare Zameen Par,4.6
RottenTomatoes Tomato meter,Mississippi Grind,4.55
RottenTomatoes Tomato meter,Moonlight,4.9
RottenTomatoes Tomato meter,National Parks Adventure,5.0
RottenTomatoes Tomato meter,17 Again,2.8
RottenTomatoes Tomato meter,Here Alone,3.3
RottenTomatoes Tomato meter,Honey 2,0.5
RottenTomatoes Tomato meter,House of Z,3.0
RottenTomatoes Tomato meter,Kill Command,3.75
RottenTomatoes Tomato meter,Kill the Irishman,3.1
RottenTomatoes Tomato meter,World Trade Center,3.3
RottenTomatoes Tomato meter,Into the Wild,4.15
RottenTomatoes Tomato meter,Safe House,2.65
RottenTomatoes Tomato meter,Life as We Know It,1.45
RottenTomatoes Tomato meter,Big Stone Gap,1.65
