Username,Title,Rating Final
CenayangFilm,The Break-Up,1.875
CenayangFilm,Casino Royale,3.75
CenayangFilm,Cloverfield,1.84375
CenayangFilm,Evan Almighty,2.5
CenayangFilm,Angels & Demons,2.75
CenayangFilm,Spider-Man 3,2.584821
CenayangFilm,Superman Returns,3.375
CenayangFilm,Teenage Mutant Ninja Turtles,2.5
CenayangFilm,The Princess and the Frog,3.472222
CenayangFilm,V for Vendetta,3.125
CenayangFilm,Zodiac,3.208333
CenayangFilm,Zombieland,3.335024
CenayangFilm,Hitch,2.5
CenayangFilm,Invictus,3.5625
CenayangFilm,Merantau,2.69697
CenayangFilm,Paranormal Activity,3.333333
CenayangFilm,Friday the 13th,2.416667
danieldokter,My Stupid Boss,0
danieldokter,The Last Airbender,2.5
danieldokter,Hugo,2.1875
danieldokter,The Bling Ring,2.8125
danieldokter,The Danish Girl,3.333333
danieldokter,Sinister 2,2.493056
danieldokter,Olympus Has Fallen,2.930556
danieldokter,Selfless,2.541667
danieldokter,Habibie & Ainun,2.703125
danieldokter,Black Sea,3.75
danieldokter,Rudy Habibie,2.1875
danieldokter,Surga Yang Tak Dirindukan,2.8125
danieldokter,The Doll,3.75
danieldokter,The Theory of Everything,3.5625
danieldokter,Chernobyl Diaries,4.25
danieldokter,Clash of the Titans,2.795455
danieldokter,Cloud Atlas,4.5
danieldokter,Clouds of Sils Maria,3.3125
danieldokter,Dallas Buyers Club,3.833333
danieldokter,Don't Be Afraid of the Dark,2.15625
danieldokter,Don't Knock Twice,3.375
danieldokter,Earth to Echo,2.408333
danieldokter,Silent Hill: Revelation,3
danieldokter,Soul Surfer,2.625
danieldokter,Stonehearst Asylum,3.560897
danieldokter,Suckseed,3.214286
danieldokter,Surat Dari Praha,3.545455
danieldokter,The Adventures of Tintin,5
danieldokter,The Book of Eli,1.875
danieldokter,The Captive,2.539063
danieldokter,The Company Men,2.5
danieldokter,The Croods,3.318182
danieldokter,The Forgotten,2.5
danieldokter,The Frozen Ground,2
danieldokter,The Iron Lady,3.215278
danieldokter,Grown Ups,2.313889
danieldokter,Chappie,2.3125
danieldokter,Extraction,3.125
danieldokter,Green Lantern,4.25
danieldokter,The Interview,0.875
danieldokter,The November Man,2.40625
danieldokter,Walk of Shame,3.75
danieldokter,Inception,3.333333
danieldokter,Django Unchained,3.397727
danieldokter,Brick Mansions,4.166667
danieldokter,Snowpiercer,3.75
danieldokter,Kung Fu Panda 2,3.791667
danieldokter,Underworld: Awakening,2.526786
danieldokter,Spy Kids: All the Time in the World,2.5
danieldokter,Sabotage,0.75
danieldokter,Due Date,3.125
danieldokter,Madagascar 3: Europe's Most Wanted,2.5
danieldokter,The Darkest Hour,3.4375
danieldokter,The Whole Truth,2.520833
danieldokter,Crimson Peak,2.421875
danieldokter,Insidious,3.25
danieldokter,The BFG,3.166667
danieldokter,The Conjuring,3
danieldokter,The Conjuring 2,2.5
danieldokter,War Dogs,1.920455
danieldokter,Shutter Island,2.75
danieldokter,The Next Three Days,4.25
danieldokter,Tanda Tanya,3.046875
danieldokter,Triple 9,3.055556
danieldokter,3 Days to Kill,3
danieldokter,Cloudy with a Chance of Meatballs 2,3.375
danieldokter,Snowden,3.216667
danieldokter,ParaNorman,2.75
danieldokter,Real Steel,3.125
danieldokter,The Smurfs 2,3.583333
danieldokter,How to Train Your Dragon 2,2.5625
danieldokter,Puss in Boots,2.1875
danieldokter,The Smurfs,2.5
danieldokter,Seventh Son,2.625
danieldokter,Mr. Peabody & Sherman,2.5
danieldokter,Headshot,3
danieldokter,Pandora,2.5
danieldokter,Ip Man 3,2.465278
danieldokter,The Roommate,1.756944
danieldokter,The Social Network,5
danieldokter,Train to Busan,3.5
danieldokter,Transcendence,2.583333
danieldokter,Turbo,3.25
danieldokter,Tusk,0.714286
danieldokter,Poseidon,2.5
danieldokter,3 Idiots,5
danieldokter,A Love Story,2.414773
danieldokter,Ip Man,4.125
danieldokter,Garuda Di Dadaku,2.5
danieldokter,Ghost Rider,1.208333
danieldokter,Twilight,4.25
danieldokter,Memoirs of a Geisha,3.169643
danieldokter,Star Trek,2.4375
danieldokter,The Strangers,3.5
danieldokter,The Lovely Bones,2.5625
danieldokter,The Signal,3.583333
danieldokter,Taare Zameen Par,2
danieldokter,Moonlight,2.5
danieldokter,17 Again,2.5
danieldokter,Left Behind,2.203125
danieldokter,Safe House,3.416667
danieldokter,The American,2.708333
danieldokter,The Founder,4
danieldokter,Young Adult,2.625
danieldokter,Captain Fantastic,2.25
danieldokter,Blue Valentine,3.25
danieldokter,Barely Lethal,2.85
danieldokter,Anesthesia,2.5
danieldokter,Dead Man Down,3.326389
danieldokter,Yes Man,2.083333
danieldokter,Letters to Juliet,2.5
danieldokter,American Ultra,3.2875
danieldokter,Bolt,2.671875
danieldokter,The Brave One,3.25
danieldokter,The Brave One,2.5
danieldokter,Casino Royale,3.1875
danieldokter,Cloverfield,2.5
danieldokter,Sherlock Holmes,4.25
danieldokter,Spider-Man 3,2.5
danieldokter,Superman Returns,3.75
danieldokter,Teenage Mutant Ninja Turtles,2.458333
danieldokter,The Amityville Horror,2.5
danieldokter,The Final Destination,2.8125
danieldokter,The Princess and the Frog,2.751894
danieldokter,The Pursuit of Happyness,2.5
danieldokter,V for Vendetta,2.875
danieldokter,Zombieland,3
danieldokter,Merantau,2.84375
danieldokter,Paranormal Activity,2.5
danieldokter,Race to Witch Mountain,2.69697
danieldokter,Revolutionary Road,3
danieldokter,Righteous Kill,2.458333
danieldokter,Friday the 13th,4.25
djaycoholyc,My Stupid Boss,3.295455
djaycoholyc,The Last Airbender,3.75
djaycoholyc,The Runaways,2.539063
djaycoholyc,Hugo,3.5
djaycoholyc,Olympus Has Fallen,1.5
djaycoholyc,Habibie & Ainun,2.916667
djaycoholyc,Rudy Habibie,2.5
djaycoholyc,Surga Yang Tak Dirindukan,1.458333
djaycoholyc,The Doll,3.125
djaycoholyc,The Theory of Everything,1.625
djaycoholyc,Cloud Atlas,0.75
djaycoholyc,Dallas Buyers Club,3.791667
djaycoholyc,Surat Dari Praha,3.6125
djaycoholyc,The Adventures of Tintin,5
djaycoholyc,The Company Men,2.5
djaycoholyc,The Iron Lady,3.5
djaycoholyc,Grown Ups,3.1875
djaycoholyc,Extraction,3
djaycoholyc,Green Lantern,0
djaycoholyc,The Interview,2.708333
djaycoholyc,Inception,3.666667
djaycoholyc,Django Unchained,2.5
djaycoholyc,The Twilight Saga: Breaking Dawn: Part 2,2.5
djaycoholyc,Snowpiercer,4
djaycoholyc,Green Zone,2.666667
djaycoholyc,Madagascar 3: Europe's Most Wanted,3.645833
djaycoholyc,Crimson Peak,2
djaycoholyc,The BFG,2.770833
djaycoholyc,The Conjuring,2.909091
djaycoholyc,Shutter Island,2.5
djaycoholyc,Tanda Tanya,4
djaycoholyc,Snowden,4.25
djaycoholyc,ParaNorman,2.4375
djaycoholyc,Real Steel,3.6875
djaycoholyc,Headshot,2.5
djaycoholyc,Jupiter Ascending,2.5
djaycoholyc,The Roommate,2.5
djaycoholyc,The Social Network,2.0625
djaycoholyc,The Spy Next Door,3.25
djaycoholyc,Train to Busan,3.183333
djaycoholyc,Transcendence,2.5
djaycoholyc,Beowulf,3.375
djaycoholyc,Pineapple Express,3.25
djaycoholyc,3 Idiots,4
djaycoholyc,Zathura,3.75
djaycoholyc,The Spiderwick Chronicles,2.5
djaycoholyc,A Love Story,2.9
djaycoholyc,The Bucket List,3.75
djaycoholyc,Ip Man,1.625
djaycoholyc,Garuda Di Dadaku,5
djaycoholyc,Ghost Rider,2.25
djaycoholyc,The Twilight Saga: New Moon,5
djaycoholyc,Twilight,2.1875
djaycoholyc,Kung Fu Panda,2.8125
djaycoholyc,Memoirs of a Geisha,4.375
djaycoholyc,Seven Pounds,2.5
djaycoholyc,Star Trek,4
djaycoholyc,The Lovely Bones,4.25
djaycoholyc,Moonlight,3.5
djaycoholyc,Into the Wild,2.875
djaycoholyc,Safe House,2.9375
djaycoholyc,The American,4.25
djaycoholyc,Young Adult,3.5
djaycoholyc,Captain Fantastic,3.625
djaycoholyc,Blue Valentine,2.5
djaycoholyc,Yes Man,4.25
djaycoholyc,Letters to Juliet,2.5
djaycoholyc,Bedtime Stories,4.625
djaycoholyc,The Break-Up,2.75
djaycoholyc,Cloverfield,2.5
djaycoholyc,Angels & Demons,5
djaycoholyc,The Da Vinci Code,3.75
djaycoholyc,Sherlock Holmes,2.466667
djaycoholyc,Spider-Man 3,2.8125
djaycoholyc,Superman Returns,2.5
djaycoholyc,Zombieland,3.5
djaycoholyc,Invictus,2.652778
djaycoholyc,Merantau,3.225
djaycoholyc,Paranormal Activity,2.5
djaycoholyc,Revolutionary Road,3.40625
djaycoholyc,Friday the 13th,3.333333
djaycoholyc,G-Force,3.5
Elbert_Reyner,My Stupid Boss,3.25
Elbert_Reyner,The Last Airbender,0.75
Elbert_Reyner,Hugo,3.916667
Elbert_Reyner,The Bling Ring,3
Elbert_Reyner,The Danish Girl,2.5
Elbert_Reyner,Sinister 2,3
Elbert_Reyner,Olympus Has Fallen,3.695313
Elbert_Reyner,Selfless,2.5
Elbert_Reyner,Habibie & Ainun,3.333333
Elbert_Reyner,Rudy Habibie,2.5
Elbert_Reyner,Surga Yang Tak Dirindukan,2.825
Elbert_Reyner,The Doll,2.5
Elbert_Reyner,Chernobyl Diaries,1
Elbert_Reyner,Clash of the Titans,2
Elbert_Reyner,Cloud Atlas,4.375
Elbert_Reyner,Dallas Buyers Club,3.875
Elbert_Reyner,Dolphin Tale 2,2.6875
Elbert_Reyner,Don't Be Afraid of the Dark,3
Elbert_Reyner,Silent Hill: Revelation,2.5
Elbert_Reyner,Stonehearst Asylum,2.125
Elbert_Reyner,Surat Dari Praha,4.416667
Elbert_Reyner,Swiss Army Man,3.75
Elbert_Reyner,The Age of Shadows,3.25
Elbert_Reyner,The Croods,3.5
Elbert_Reyner,The Frozen Ground,3
Elbert_Reyner,The Iron Lady,4
Elbert_Reyner,Grown Ups,1.25
Elbert_Reyner,Extraction,3.5
Elbert_Reyner,Green Lantern,1.5
Elbert_Reyner,The Interview,4
Elbert_Reyner,Inception,2.5
Elbert_Reyner,Django Unchained,3.166667
Elbert_Reyner,Brick Mansions,2.8125
Elbert_Reyner,Snowpiercer,4.5
Elbert_Reyner,Kung Fu Panda 2,3.5
Elbert_Reyner,Underworld: Awakening,2
Elbert_Reyner,Sabotage,2.48125
Elbert_Reyner,Madagascar 3: Europe's Most Wanted,2.5
Elbert_Reyner,Crimson Peak,2.694444
Elbert_Reyner,Insidious,2.375
Elbert_Reyner,The BFG,3.015625
Elbert_Reyner,The Conjuring,1.875
Elbert_Reyner,The Conjuring 2,3.675
Elbert_Reyner,Tanda Tanya,2.5
Elbert_Reyner,Triple 9,3.25
Elbert_Reyner,Snowden,3.125
Elbert_Reyner,ParaNorman,4
Elbert_Reyner,The Smurfs 2,2
Elbert_Reyner,How to Train Your Dragon 2,3.475
Elbert_Reyner,Puss in Boots,4
Elbert_Reyner,The Smurfs,1.25
Elbert_Reyner,Seventh Son,0.5
Elbert_Reyner,Mr. Peabody & Sherman,2.5
Elbert_Reyner,Headshot,1.958333
Elbert_Reyner,Pandora,2.9375
Elbert_Reyner,Ip Man 3,2.5
Elbert_Reyner,Jupiter Ascending,2.5
Elbert_Reyner,The Social Network,5
Elbert_Reyner,Train to Busan,3.1875
Elbert_Reyner,Transcendence,3
Elbert_Reyner,Turbo,2.1875
Elbert_Reyner,Tusk,3.05
Elbert_Reyner,A Single Man,3.375
Elbert_Reyner,Ghost Rider,0.916667
Elbert_Reyner,Twilight,2.027778
Elbert_Reyner,Star Trek,4
Elbert_Reyner,The Signal,4.25
Elbert_Reyner,Moonlight,3.625
Elbert_Reyner,17 Again,2.25
Elbert_Reyner,Left Behind,3
Elbert_Reyner,The Founder,2.5
Elbert_Reyner,Young Adult,3
Elbert_Reyner,American Ultra,2.5
Elbert_Reyner,Casino Royale,5
Elbert_Reyner,Charlie and the Chocolate Factory,3.5
Elbert_Reyner,Cloverfield,2.958333
Elbert_Reyner,Sherlock Holmes,2.5
Elbert_Reyner,Spider-Man 3,2.2
Elbert_Reyner,Superman Returns,2.607955
Elbert_Reyner,Teenage Mutant Ninja Turtles,1
Elbert_Reyner,The Princess and the Frog,2.878472
Elbert_Reyner,V for Vendetta,4.5
Elbert_Reyner,Zombieland,4
Elbert_Reyner,Indiana Jones and the Kingdom of the Crystal Skull,2.5
Elbert_Reyner,Merantau,3.035714
Elbert_Reyner,Paranormal Activity,2.5
HabisNontonFilm,Surga Yang Tak Dirindukan,2.193287
HabisNontonFilm,Suckseed,2.539063
HabisNontonFilm,The Autopsy of Jane Doe,3.19697
HabisNontonFilm,Extraction,4.166667
HabisNontonFilm,Inception,2.25
HabisNontonFilm,Snowpiercer,3.175
HabisNontonFilm,The Whole Truth,2.315901
HabisNontonFilm,The Conjuring,4.25
HabisNontonFilm,My True Friend,2
HabisNontonFilm,The Social Network,2.833333
HabisNontonFilm,Train to Busan,3.458333
HabisNontonFilm,Garuda Di Dadaku,3.125
HabisNontonFilm,Twilight,3.078125
HabisNontonFilm,Young Adult,3.061111
HabisNontonFilm,Cloverfield,3.25
HabisNontonFilm,The Pursuit of Happyness,2.609375
HabisNontonFilm,Friday the 13th,2.4375
rayculz,My Stupid Boss,2.7625
rayculz,The Theory of Everything,5
rayculz,Cloud Atlas,2.214286
rayculz,Silent Hill: Revelation,2.65
rayculz,The Frozen Ground,2.3125
rayculz,Chappie,3.4375
rayculz,Extraction,1.5
rayculz,Green Lantern,2.916667
rayculz,The Interview,4.4375
rayculz,Django Unchained,3.5
rayculz,Brick Mansions,2.5
rayculz,Snowpiercer,3.5
rayculz,The Conjuring,4.0625
rayculz,Seventh Son,2.145833
rayculz,Headshot,3.96875
rayculz,Before the Flood,2.875
rayculz,Transcendence,2.13125
rayculz,3 Idiots,3.083333
rayculz,Twilight,4.125
rayculz,Star Trek,2.430556
rayculz,State of Play,3
rayculz,The Last Exorcism,2.625
rayculz,Taare Zameen Par,1.75
rayculz,Moonlight,2.5
rayculz,Into the Wild,2.643182
rayculz,Blue Valentine,3.625
rayculz,V for Vendetta,3
rayculz,Zombieland,3.416667
rayculz,Paranormal Activity,2.5
Elbert_Reyner,Gunpowder Milkshake,2.901042
Elbert_Reyner,Wind River,3.166667
Elbert_Reyner,Man in Love,3
Elbert_Reyner,Five Feet Apart,3.285714
Elbert_Reyner,Blood Red Sky,3.5
Elbert_Reyner,The Last Letter From Your Lover,2.5
Elbert_Reyner,Midnight Sun,2.5
Elbert_Reyner,Army of the Dead,3.5
Elbert_Reyner,The Woman in the Window,2.5
Elbert_Reyner,Ma Rainey's Black Bottom,2.630208
Elbert_Reyner,Mariposa,3.6875
Elbert_Reyner,Space Sweepers,2.5
Elbert_Reyner,The Call,3
Elbert_Reyner,Mile 22,3
Elbert_Reyner,Over the Moon,3.083333
Elbert_Reyner,The Trial of the Chicago 7,4
Elbert_Reyner,The Outpost,3
Elbert_Reyner,Enola Holmes,3.5
Elbert_Reyner,The Devil All The Time,4
Elbert_Reyner,Cargo,3.083333
Elbert_Reyner,The Social Dilemma,3.192708
Elbert_Reyner,#Alive,4
Elbert_Reyner,Ave Maryam,3.375
Elbert_Reyner,Last Night,4
Elbert_Reyner,Legion,2.9
Elbert_Reyner,Lincoln,2.916667
Elbert_Reyner,Midnight Special,2.333333
Elbert_Reyner,Muppets Most Wanted,3.25
Elbert_Reyner,Nightcrawler,2.979167
Elbert_Reyner,Scary Movie 5,2
Elbert_Reyner,"Love, Rosie",3.041667
Elbert_Reyner,Room,5
Elbert_Reyner,Velvet Buzzsaw,2.5
Elbert_Reyner,The Night Comes for Us,2.4525
Elbert_Reyner,Apostle,2.859375
Elbert_Reyner,Us and Them,3.5
Elbert_Reyner,Beyond Skyline,2.666667
Elbert_Reyner,Bullet Head,1.5
Elbert_Reyner,FullMetal Alchemist,2.5
Elbert_Reyner,The Ballad of Buster Scruggs,2.8125
Elbert_Reyner,Bad Genius,3.645833
Elbert_Reyner,Steel Rain,4
Elbert_Reyner,Forgotten,3.5
Elbert_Reyner,The Ritual,3.5
Elbert_Reyner,Galih dan Ratna,3.6
Elbert_Reyner,Kung Fu Yoga,3.75
Elbert_Reyner,Molly's Game,4.5
Elbert_Reyner,Peter Rabbit,1
Elbert_Reyner,Solo: A Star Wars Story,3.5
Elbert_Reyner,Star Wars: Episode VIII: The Last Jedi,3.333333
Elbert_Reyner,Thor: Ragnarok,2.972222
Elbert_Reyner,The Foreigner,2.079167
Elbert_Reyner,The Hurricane Heist,3
Elbert_Reyner,The Incredibles 2,4
Elbert_Reyner,The Secret Life of Pets 2,3
Elbert_Reyner,The Little Mermaid,2.375
Elbert_Reyner,Bright,2.34375
Elbert_Reyner,Death Note,2.416667
Elbert_Reyner,Okja,3.125
Elbert_Reyner,Ant-Man and the Wasp,4
Elbert_Reyner,Avengers: Infinity War,2.5625
Elbert_Reyner,Black Panther,5
Elbert_Reyner,Buffalo Boys,2.5125
Elbert_Reyner,Burning,3.5
Elbert_Reyner,Berlin Syndrome,3.21875
Elbert_Reyner,Lucid Dream,3.09375
Elbert_Reyner,War Machine,2.291667
Elbert_Reyner,A Wrinkle in Time,0.75
Elbert_Reyner,American Assassin,2.926136
Elbert_Reyner,1922,4.375
Elbert_Reyner,Long Shot,4
Elbert_Reyner,Chasing the Dragon,3.611111
Elbert_Reyner,The Cloverfield Paradox,3
Elbert_Reyner,Sin City,2.5
Elbert_Reyner,The Old Guard,3
Elbert_Reyner,The Witch: Part 1 - The Subversion,3.5
Elbert_Reyner,Before I Fall,3.5
Elbert_Reyner,Lady Bird,3.5
Elbert_Reyner,The Disaster Artist,3.95
Elbert_Reyner,Ne Zha,3.375
Elbert_Reyner,Uncut Gems,2.916667
Elbert_Reyner,Dilan 1990,4
Elbert_Reyner,Dilan 1991,2
Elbert_Reyner,The Half Of It,4
Elbert_Reyner,My Stupid Boss 2,3.5
Elbert_Reyner,Time to Hunt,2.5
Elbert_Reyner,The Killing of a Sacred Deer,2.733333
Elbert_Reyner,Angel Has Fallen,3
Elbert_Reyner,Happy Old Year,3.5
Elbert_Reyner,All The Bright Places,3
Elbert_Reyner,Cahaya Dari Timur Beta Maluku,2.5
Elbert_Reyner,6 Underground,3
Elbert_Reyner,Marriage Story,2.799242
Elbert_Reyner,The Island,3.6875
Elbert_Reyner,Master Z: The Ip Man Legacy,2.5
Elbert_Reyner,After,2.5
Elbert_Reyner,Love for Sale,3
Elbert_Reyner,In the Tall Grass,2
Elbert_Reyner,The Last Summer,3.5
Elbert_Reyner,The Perfect Date,2
Elbert_Reyner,Triple Frontier,2.5
Elbert_Reyner,The Sky Is Pink,3.5
Elbert_Reyner,The Irishman,2.8125
Elbert_Reyner,The Silence,2
Elbert_Reyner,The Perfection,4
Elbert_Reyner,Point Blank,2.5
danieldokter,Gunpowder Milkshake,3.75
danieldokter,Wind River,2.9375
danieldokter,Man in Love,2.920833
danieldokter,Beckett,3.025
danieldokter,The Kissing Booth 3,3.5
danieldokter,The Swarm,2.333333
danieldokter,Five Feet Apart,2.25
danieldokter,A Perfect Fit,4.5
danieldokter,A Classic Horror Story,3
danieldokter,Midnight Sun,2.715278
danieldokter,Si Doel the Movie 2,3.421875
danieldokter,Haseen Dillruba,3.369643
danieldokter,The 8th Night,2.3125
danieldokter,Ali & Ratu Ratu Queens,3.194444
danieldokter,Wish Dragon,2.5
danieldokter,Army of the Dead,2.75
danieldokter,Super Me,3.125
danieldokter,The Mitchells vs The Machines,3.1
danieldokter,Stowaway,2.203125
danieldokter,Ride or Die,1.25
danieldokter,Night in Paradise,2.214286
danieldokter,Tersanjung the Movie,2.973485
danieldokter,Pagglait,2.8125
danieldokter,The Last Mercenary,2.922917
danieldokter,Two Distant Strangers,3.272727
danieldokter,Thunder Force,1.875
danieldokter,Nightbooks,3.266667
danieldokter,Paradise Hills,2.5
danieldokter,Death to 2020,2.918182
danieldokter,Geez & Ann,2.678571
danieldokter,Generasi 90an: Melankolia,2.25
danieldokter,I Care a Lot,2.921875
danieldokter,June & Kopi,3.03125
danieldokter,Layla Majnun,3.078125
danieldokter,Ma Rainey's Black Bottom,2.434524
danieldokter,Mariposa,3.637755
danieldokter,Moxie,3.4775
danieldokter,Outside the Wire,2.495833
danieldokter,Pieces of a Woman,2.5
danieldokter,Space Sweepers,2.304167
danieldokter,Tarung Sarung,2.920139
danieldokter,The Call,2.61
danieldokter,The White Tiger,3.833333
danieldokter,We Can Be Heroes,3.2875
danieldokter,Ludo,2.6875
danieldokter,Mile 22,2.49375
danieldokter,His House,3.055
danieldokter,Holidate,2.1125
danieldokter,Over the Moon,3.202381
danieldokter,Rebecca,2.782197
danieldokter,The Trial of the Chicago 7,3.333333
danieldokter,Hubie Halloween,2.875
danieldokter,The Outpost,3.125
danieldokter,Enola Holmes,3.316667
danieldokter,Whipped,3.1875
danieldokter,The Devil All The Time,1.589286
danieldokter,The Babysitter: Killer Queen,3.333333
danieldokter,Cargo,2.617857
danieldokter,#Alive,3.016369
danieldokter,My Octopus Teacher,3.75
danieldokter,I'm Thinking of Ending Things,1.760417
danieldokter,Ave Maryam,3.09375
danieldokter,Project Power,3.013889
danieldokter,Last Knights,2.753571
danieldokter,Lincoln,2.6625
danieldokter,Midnight Special,2.25
danieldokter,Movie 43,3.3125
danieldokter,Muppets Most Wanted,3.141667
danieldokter,Scary Movie 5,4
danieldokter,"Love, Rosie",3.25
danieldokter,Room,2.763889
danieldokter,Searching for Sugar Man,3.75
danieldokter,Velvet Buzzsaw,2.402778
danieldokter,The Doll 2,3.125
danieldokter,Polar,2.652778
danieldokter,Bird Box,2.944444
danieldokter,Sabrina,2.6875
danieldokter,Target,2.4375
danieldokter,Apostle,1.462798
danieldokter,The After Party,2.5
danieldokter,Beyond Skyline,3.375
danieldokter,The Outsider,3.375
danieldokter,Bullet Head,3.5
danieldokter,FullMetal Alchemist,2.138889
danieldokter,Irreplaceable You,2.875
danieldokter,The Ballad of Buster Scruggs,2.770833
danieldokter,The Package,3.154762
danieldokter,Set It Up,3.341837
danieldokter,Bad Genius,2.6625
danieldokter,Psychokinesis,2.770833
danieldokter,Benji,2.027778
danieldokter,Steel Rain,2.8125
danieldokter,First Kill,0.75
danieldokter,Galih dan Ratna,3.076136
danieldokter,Goosebumps 2: Haunted Halloween,3.007813
danieldokter,Kung Fu Yoga,3.218182
danieldokter,Mary Poppins Returns,3.490741
danieldokter,Molly's Game,2.816667
danieldokter,Peter Rabbit,3.0875
danieldokter,Solo: A Star Wars Story,2.363636
danieldokter,Spider-Man: Into the Spider-Verse,3.525
danieldokter,The Angry Birds Movie 2,2.1875
danieldokter,The Pursuit,2.5
danieldokter,Thor: Ragnarok,2.972222
danieldokter,The Force,3.583333
danieldokter,The Foreigner,2.75
danieldokter,The Hurricane Heist,2.830729
danieldokter,The Secret Life of Pets 2,2.908333
danieldokter,The Nutcracker and the Four Realms,3.133333
danieldokter,The Little Mermaid,2.795455
danieldokter,Bright,2.5625
danieldokter,Death Note,3.113636
danieldokter,Okja,3.875
danieldokter,Ant-Man and the Wasp,3
danieldokter,Avengers: Infinity War,3.314286
danieldokter,Black Panther,1
danieldokter,Buffalo Boys,2.923469
danieldokter,Burning,3.317708
danieldokter,Christopher Robin,3.232143
danieldokter,Berlin Syndrome,2.578125
danieldokter,Icarus,3.75
danieldokter,War Machine,2.84375
danieldokter,A Wrinkle in Time,3
danieldokter,American Assassin,2.5
danieldokter,Mudbound,2.625
danieldokter,Long Shot,3.75
danieldokter,Newness,3.5
danieldokter,Chasing the Dragon,2.789063
danieldokter,The Cloverfield Paradox,2.680556
danieldokter,Voyeur,2.25
danieldokter,Cult of Chucky,2.833333
danieldokter,6 Days,2.5
danieldokter,Sin City,1.625
danieldokter,The Kissing Booth 2,3.214286
danieldokter,Ip Man 4: The Finale,3.1875
danieldokter,The Old Guard,3.5
danieldokter,Milea,2.61627
danieldokter,Da 5 Bloods,2.75
danieldokter,Before I Fall,3.5
danieldokter,The Night Clerk,2.5
danieldokter,Lady Bird,3.166667
danieldokter,The Disaster Artist,3.234524
danieldokter,Uncut Gems,3
danieldokter,Dilan 1990,2.75
danieldokter,Dilan 1991,2.625
danieldokter,Si Doel the Movie,3.421875
danieldokter,The Half Of It,4.125
danieldokter,My Stupid Boss 2,2.847222
danieldokter,Time to Hunt,2.34375
danieldokter,Love Wedding Repeat,2.678125
danieldokter,The Killing of a Sacred Deer,2.607143
danieldokter,Happy Old Year,2.621795
danieldokter,Lost Girls,3.041667
danieldokter,Spenser Confidential,3.4375
danieldokter,Love for Sale 2,3.145833
danieldokter,A Ghost Story,2.583333
danieldokter,The Two Popes,2.753472
danieldokter,Cahaya Dari Timur Beta Maluku,4.5
danieldokter,Eurovision Song Contest: The Story of Fire Saga,2.916667
danieldokter,6 Underground,3.833333
danieldokter,Marriage Story,2.791667
danieldokter,Master Z: The Ip Man Legacy,2.873333
danieldokter,Love for Sale,3.145833
danieldokter,Munafik 2,2.71875
danieldokter,Triple Frontier,2.59375
danieldokter,The Sky Is Pink,2.5
danieldokter,The Irishman,4.166667
danieldokter,The Highwaymen,2.931548
danieldokter,The Silence,2.166667
danieldokter,The Perfection,2.291667
